DATE, COMPANY, CHANGE


20241202


02DEC2024, 786 Invest Ltd, 0.100
02DEC2024, Al-Abbas Sugar, 8.020
02DEC2024, Ali Asghar Textile, -0.640
02DEC2024, Allied Bank Ltd, 6.250
02DEC2024, Abbott Lab., 26.320
02DEC2024, Alfalah Consumer, 0.480
02DEC2024, Attock Cement, 6.700
02DEC2024, Adam Sugar, 5.500
02DEC2024, Artistic Denim, 1.430
02DEC2024, Agha Steel Ind., 0.260
02DEC2024, Agha Steel Ind., 0.280
02DEC2024, Agha Steel Ind., 0.270
02DEC2024, Agha Steel Ind., 0.320
02DEC2024, Ask.Gen.Insur., 0.080
02DEC2024, Agriautos Ind., 6.440
02DEC2024, Agritech Limited, -0.240
02DEC2024, Agritech Limited, 0.410
02DEC2024, Agritech Limited, -0.270
02DEC2024, Agritech Limited, -0.300
02DEC2024, AGP Limited, -0.460
02DEC2024, Abdullah Shah, 0.430
02DEC2024, AL-Ghazi Tractors, 7.920
02DEC2024, Arif Habib CorpXD, 1.280
02DEC2024, Arif Habib Ltd.XD, 1.660
02DEC2024, Ahmed Hassan, 0.000
02DEC2024, Adamjee Ins., 0.930
02DEC2024, Adamjee Ins., 0.250
02DEC2024, Adamjee Ins., 0.950
02DEC2024, Adamjee Ins., 0.900
02DEC2024, Air Link Commun, 6.130
02DEC2024, Air Link Commun, 6.240
02DEC2024, Air Link Commun, 6.340
02DEC2024, Air Link Commun, 6.130
02DEC2024, Askari Bank, -0.280
02DEC2024, Askari Bank, 0.840
02DEC2024, Askari Bank, -0.320
02DEC2024, Askari Bank, -0.350
02DEC2024, AKD Hospitality, 4.880
02DEC2024, AKD Securites, 0.310
02DEC2024, AL-Khair Gadoon, 0.500
02DEC2024, Askari Life Ass, 0.300
02DEC2024, Adamjee Life Assuran, -0.070
02DEC2024, AL-Noor Sugar, -0.020
02DEC2024, Altern Energy, 0.170
02DEC2024, Amtex Limited, 0.110
02DEC2024, Azgard Nine, 0.220
02DEC2024, AN Textile Mill, 0.590
02DEC2024, Attock Petroleum, 16.420
02DEC2024, Arctic Textile, 0.290
02DEC2024, Arpak Int., 0.000
02DEC2024, Archroma Pak, 9.710
02DEC2024, Aruj Industries, 0.520
02DEC2024, Al-Shaheer Corp, 1.000
02DEC2024, Al-Shaheer Corp, 1.000
02DEC2024, Al-Shaheer Corp, 1.000
02DEC2024, Ashfaq Textile, 0.020
02DEC2024, Asia Insurance, 0.000
02DEC2024, Aisha Steel Mill, 0.320
02DEC2024, Aisha Steel Mill, 0.340
02DEC2024, Aisha Steel Mill, 0.330
02DEC2024, Aisha Steel Mill, 0.320
02DEC2024, Aisha StelCoP/S, 0.250
02DEC2024, Amreli Steels, 1.990
02DEC2024, Asim Textile, -0.480
02DEC2024, Atlas Battery, 9.170
02DEC2024, Atlas Ins. Ltd, 1.000
02DEC2024, Atlas Honda Ltd, -2.880
02DEC2024, Attock Refinery, 2.910
02DEC2024, Attock Refinery, 2.860
02DEC2024, Attock Refinery, 2.780
02DEC2024, Attock Refinery, 2.290
02DEC2024, Avanceon Ltd, 1.280
02DEC2024, Avanceon Ltd, 1.410
02DEC2024, Avanceon Ltd, 1.310
